,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
08:00-09:00,,"B.Tech (AI)-VII-A
Computer Vision
[CR-306]","B.Tech (AI)-VII-A
Computer Vision
[CR-304]","MBA.Tech (AI)-V-M
Deep Learning
[CR-304]","B.Tech (AI)-V-A
Deep Learning
[CR-304]","B.Tech (AI)-III-A
Random Processes and Estimation Techniques
[CR-303]"
09:00-10:00,"B.Tech (AI)-III-A
Random Processes and Estimation Techniques
[CR-302]","B.Tech (AI)-III-A
Random Processes and Estimation Techniques
[CR-302]","B.Tech (AI)-III-A
Random Processes and Estimation Techniques
[CL-405]","B.Tech (AI)-III-A
Random Processes and Estimation Techniques
[CL-405]","B.Tech (AI)-III-A
Random Processes and Estimation Techniques
[CL-404]","MBA.Tech (AI)-III-M
Random Processes and Estimation Techniques
[CR-303]"
10:00-11:00,"B.Tech (AI)-V-A
Deep Learning
[CR-303]","MBA.Tech (AI)-V-M
Deep Learning
[CR-302]","B.Tech (AI)-III-A
Random Processes and Estimation Techniques
[CL-405]","B.Tech (AI)-III-A
Random Processes and Estimation Techniques
[CL-405]","B.Tech (AI)-III-A
Random Processes and Estimation Techniques
[CL-404]","MBA.Tech (AI)-III-M
Random Processes and Estimation Techniques
[CR-302]"
11:00-12:00,"MBA.Tech (AI)-III-M
Random Processes and Estimation Techniques
[CR-302]","MBA.Tech (AI)-III-M
Random Processes and Estimation Techniques
[CL-404]","B.Tech (AI)-V-A
Deep Learning
[CL-404]","B.Tech (AI)-V-A
Deep Learning
[CL-404]","B.Tech (AI)-V-A
Deep Learning
[CL-406]","MBA.Tech (AI)-V-M
Deep Learning
[CL-407]"
12:00-13:00,"MBA.Tech (AI)-V-M
Deep Learning
[CL-406]","MBA.Tech (AI)-III-M
Random Processes and Estimation Techniques
[CL-404]","B.Tech (AI)-V-A
Deep Learning
[CL-404]","B.Tech (AI)-V-A
Deep Learning
[CL-404]","B.Tech (AI)-V-A
Deep Learning
[CL-406]","MBA.Tech (AI)-V-M
Deep Learning
[CL-407]"
13:00-14:00,"MBA.Tech (AI)-V-M
Deep Learning
[CL-406]",,,,,
14:00-15:00,,"B.Tech (AI)-VII-A
Computer Vision
[CL-406]","B.Tech (AI)-VII-A
Computer Vision
[CL-406]",,,
15:00-16:00,,"B.Tech (AI)-VII-A
Computer Vision
[CL-406]","B.Tech (AI)-VII-A
Computer Vision
[CL-406]",,,
16:00-17:00,,,,,,
17:00-18:00,,,,,,
