,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
08:00-09:00,"B.Tech (AI)-VII-A
Big Data Analytics
[CR-306]",,,"B.Tech (AI)-VII-A
Big Data Analytics
[CR-305]",,
09:00-10:00,"MBA.Tech (AI)-V-M
Design and Analysis of Algorithms
[CR-304]","MBA.Tech (AI)-V-M
Design and Analysis of Algorithms
[CR-303]",,"MBA.Tech (AI)-III-M
Random Processes and Estimation Techniques
[CL-406]","MBA.Tech (AI)-III-M
Intelligent Systems - I
[CR-302]","B.Tech (AI)-VII-A
Big Data Analytics
[CL-407]"
10:00-11:00,,,"MBA.Tech (AI)-III-M
Intelligent Systems - I
[CR-302]","MBA.Tech (AI)-III-M
Random Processes and Estimation Techniques
[CL-406]",,"B.Tech (AI)-VII-A
Big Data Analytics
[CL-407]"
11:00-12:00,,"MBA.Tech (AI)-V-M
Design and Analysis of Algorithms
[CC-101]","B.Tech (AI)-III-A
Intelligent Systems - I
[CR-302]","B.Tech (AI)-III-A
Intelligent Systems - I
[CR-302]","B.Tech (AI)-III-A
Intelligent Systems - I
[CL-404]","MBA.Tech (AI)-III-M
Intelligent Systems - I
[CL-405]"
12:00-13:00,,"MBA.Tech (AI)-V-M
Design and Analysis of Algorithms
[CC-101]",,,"B.Tech (AI)-III-A
Intelligent Systems - I
[CL-404]","MBA.Tech (AI)-III-M
Intelligent Systems - I
[CL-405]"
13:00-14:00,,"B.Tech (AI)-III-A
Intelligent Systems - I
[CL-404]","B.Tech (AI)-III-A
Intelligent Systems - I
[CL-404]",,,
14:00-15:00,"B.Tech (AI)-V-A
Web Programming
[CR-303]","B.Tech (AI)-III-A
Intelligent Systems - I
[CL-404]","B.Tech (AI)-III-A
Intelligent Systems - I
[CL-404]","B.Tech (AI)-V-A
Web Programming
[CR-302]","B.Tech (AI)-V-A
Web Programming
[CC-101]",
15:00-16:00,,,,,"B.Tech (AI)-V-A
Web Programming
[CC-101]",
16:00-17:00,,,"B.Tech (AI)-VII-A
Big Data Analytics
[CL-405]",,,
17:00-18:00,,,"B.Tech (AI)-VII-A
Big Data Analytics
[CL-405]",,,
