,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
08:00-09:00,"Computer Architecture
(Prof. Sneha Talreja)
[CR-304]","Computer Architecture
(Prof. Sneha Talreja)
[CR-304]","Discrete Mathematics
(Dr. Sangitha Choudhary)
[CR-303]","Discrete Mathematics
(Dr. Sangitha Choudhary)
[CR-303]","Discrete Mathematics
(Dr. Sangitha Choudhary)
[CR-303]","Random Processes and Estimation Techniques
(Prof. Kapil Rathor)
[CR-303]"
09:00-10:00,"Random Processes and Estimation Techniques
(Prof. Kapil Rathor)
[CR-302]","Random Processes and Estimation Techniques
(Prof. Kapil Rathor)
[CR-302]","Random Processes and Estimation Techniques
(Batch 1)
(Prof. Kapil Rathor)
[CL-405]","Random Processes and Estimation Techniques
(Batch 2)
(Prof. Kapil Rathor)
[CL-405]","Random Processes and Estimation Techniques
(Batch 3)
(Prof. Kapil Rathor)
[CL-404]","Operating Systems
(Prof. Jish Joy)
[CR-302]"
10:00-11:00,"Operating Systems
(Prof. Jish Joy)
[CR-302]","Operating Systems
(Batch 1)
(Prof. Jish Joy)
[CL-405]","Random Processes and Estimation Techniques
(Batch 1)
(Prof. Kapil Rathor)
[CL-405]","Random Processes and Estimation Techniques
(Batch 2)
(Prof. Kapil Rathor)
[CL-405]","Random Processes and Estimation Techniques
(Batch 3)
(Prof. Kapil Rathor)
[CL-404]","Operating Systems
(Batch 2)
(Prof. Jish Joy)
[CL-404]"
11:00-12:00,"Operating Systems
(Batch 3)
(Prof. Jish Joy)
[CL-404]","Operating Systems
(Batch 1)
(Prof. Jish Joy)
[CL-405]","Intelligent Systems - I
(Prof. Sapna Shah)
[CR-302]","Intelligent Systems - I
(Prof. Sapna Shah)
[CR-302]","Intelligent Systems - I
(Batch 1)
(Prof. Sapna Shah)
[CL-404]","Operating Systems
(Batch 2)
(Prof. Jish Joy)
[CL-404]"
12:00-13:00,"Operating Systems
(Batch 3)
(Prof. Jish Joy)
[CL-404]",,,"Data Structures and Algorithms
(Prof. Prateeksha Shanoj)
[CR-302]","Intelligent Systems - I
(Batch 1)
(Prof. Sapna Shah)
[CL-404]","Data Structures and Algorithms
(Prof. Prateeksha Shanoj)
[CR-302]"
13:00-14:00,,"Intelligent Systems - I
(Batch 2)
(Prof. Sapna Shah)
[CL-404]","Intelligent Systems - I
(Batch 3)
(Prof. Sapna Shah)
[CL-404]",,,
14:00-15:00,"Data Structures and Algorithms
(Prof. Prateeksha Shanoj)
[CR-302]","Intelligent Systems - I
(Batch 2)
(Prof. Sapna Shah)
[CL-404]","Intelligent Systems - I
(Batch 3)
(Prof. Sapna Shah)
[CL-404]","Data Structures and Algorithms
(Batch 1)
(Prof. Prateeksha Shanoj)
[CL-404]","Data Structures and Algorithms
(Batch 2)
(Prof. Prateeksha Shanoj)
[CL-404]","Data Structures and Algorithms
(Batch 3)
(Prof. Prateeksha Shanoj)
[CL-404]"
15:00-16:00,"Technical Communication
(Dr. Priyal Panchal)
[CR-302]",,,"Data Structures and Algorithms
(Batch 1)
(Prof. Prateeksha Shanoj)
[CL-404]","Data Structures and Algorithms
(Batch 2)
(Prof. Prateeksha Shanoj)
[CL-404]","Data Structures and Algorithms
(Batch 3)
(Prof. Prateeksha Shanoj)
[CL-404]"
16:00-17:00,,,,,,
17:00-18:00,,,,,,
