,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
08:00-09:00,"Mobile Application Development
(Prof. Jish Joy)
[CR-302]","Mobile Application Development
(Prof. Jish Joy)
[CR-302]","Mobile Application Development
(Batch 1)
(Prof. Jish Joy)
[CL-404]","Mobile Application Development
(Batch 2)
(Prof. Jish Joy)
[CL-404]","Deep Learning
(Prof. Kapil Rathor)
[CR-304]","Computer Network
(Dr. Sangitha Choudhary)
[CR-304]"
09:00-10:00,"Computer Network
(Dr. Sangitha Choudhary)
[CR-303]","Computer Network
(Batch 1)
(Dr. Sangitha Choudhary)
[CL-406]","Mobile Application Development
(Batch 1)
(Prof. Jish Joy)
[CL-404]","Mobile Application Development
(Batch 2)
(Prof. Jish Joy)
[CL-404]","Computer Network
(Batch 2)
(Dr. Sangitha Choudhary)
[CL-406]","Computer Network
(Batch 3)
(Dr. Sangitha Choudhary)
[CL-405]"
10:00-11:00,"Deep Learning
(Prof. Kapil Rathor)
[CR-303]","Computer Network
(Batch 1)
(Dr. Sangitha Choudhary)
[CL-406]","Natural Language Processing
(Prof. Sneha Talreja)
[CR-303]","Natural Language Processing
(Prof. Sneha Talreja)
[CR-302]","Computer Network
(Batch 2)
(Dr. Sangitha Choudhary)
[CL-406]","Computer Network
(Batch 3)
(Dr. Sangitha Choudhary)
[CL-405]"
11:00-12:00,"Natural Language Processing
(Batch 1)
(Prof. Sneha Talreja)
[CL-405]","Natural Language Processing
(Batch 2)
(Prof. Sneha Talreja)
[CL-406]","Deep Learning
(Batch 1)
(Prof. Kapil Rathor)
[CL-404]","Deep Learning
(Batch 2)
(Prof. Kapil Rathor)
[CL-404]","Deep Learning
(Batch 3)
(Prof. Kapil Rathor)
[CL-406]","Natural Language Processing
(Batch 3)
(Prof. Sneha Talreja)
[CL-406]"
12:00-13:00,"Natural Language Processing
(Batch 1)
(Prof. Sneha Talreja)
[CL-405]","Natural Language Processing
(Batch 2)
(Prof. Sneha Talreja)
[CL-406]","Deep Learning
(Batch 1)
(Prof. Kapil Rathor)
[CL-404]","Deep Learning
(Batch 2)
(Prof. Kapil Rathor)
[CL-404]","Deep Learning
(Batch 3)
(Prof. Kapil Rathor)
[CL-406]","Natural Language Processing
(Batch 3)
(Prof. Sneha Talreja)
[CL-406]"
13:00-14:00,,,,,,
14:00-15:00,"Web Programming
(Prof. Sapna Shah)
[CR-303]","Cryptography and Network Security
(Dr. Priyal Panchal)
[CR-302]",,"Web Programming
(Prof. Sapna Shah)
[CR-302]","Web Programming
(Batch 1)
(Prof. Sapna Shah)
[CC-101]","Cryptography and Network Security
(Dr. Priyal Panchal)
[CR-302]"
15:00-16:00,"Design and Analysis of Algorithms
(Prof. Prateeksha Shanoj)
[CR-303]",,"Design and Analysis of Algorithms
(Prof. Prateeksha Shanoj)
[CR-302]","Cryptography and Network Security
(Batch 1)
(Dr. Priyal Panchal)
[CC-101]","Web Programming
(Batch 1)
(Prof. Sapna Shah)
[CC-101]",
16:00-17:00,,"Design and Analysis of Algorithms
(Batch 1)
(Prof. Prateeksha Shanoj)
[CL-404]","Design and Analysis of Algorithms
(Batch 2)
(Prof. Prateeksha Shanoj)
[CL-404]","Cryptography and Network Security
(Batch 1)
(Dr. Priyal Panchal)
[CC-101]",,
17:00-18:00,,"Design and Analysis of Algorithms
(Batch 1)
(Prof. Prateeksha Shanoj)
[CL-404]","Design and Analysis of Algorithms
(Batch 2)
(Prof. Prateeksha Shanoj)
[CL-404]",,,
