,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
08:00-09:00,"Discrete Mathematics
(Dr. Sangitha Choudhary)
[CR-305]","Discrete Mathematics
(Dr. Sangitha Choudhary)
[CR-305]","Computer Architecture
(Prof. Sneha Talreja)
[CR-302]","Computer Architecture
(Prof. Sneha Talreja)
[CR-302]","Operating Systems
(Prof. Dilip Motwani)
[CR-302]","Operating Systems
(Prof. Dilip Motwani)
[CR-302]"
09:00-10:00,"Operating Systems
(Batch 1)
(Prof. Dilip Motwani)
[CL-404]","Operating Systems
(Batch 2)
(Prof. Dilip Motwani)
[CL-404]","Discrete Mathematics
(Dr. Sangitha Choudhary)
[CR-302]","Random Processes and Estimation Techniques
(Batch 2)
(Prof. Sapna Shah)
[CL-406]","Intelligent Systems - I
(Prof. Sapna Shah)
[CR-302]","Random Processes and Estimation Techniques
(Prof. Kapil Rathor)
[CR-303]"
10:00-11:00,"Operating Systems
(Batch 1)
(Prof. Dilip Motwani)
[CL-404]","Operating Systems
(Batch 2)
(Prof. Dilip Motwani)
[CL-404]","Intelligent Systems - I
(Prof. Sapna Shah)
[CR-302]","Random Processes and Estimation Techniques
(Batch 2)
(Prof. Sapna Shah)
[CL-406]","Intelligent Systems - I
(Batch 2)
(Prof. Prateeksha Shanoj)
[CL-405]","Random Processes and Estimation Techniques
(Prof. Kapil Rathor)
[CR-302]"
11:00-12:00,"Random Processes and Estimation Techniques
(Prof. Kapil Rathor)
[CR-302]","Random Processes and Estimation Techniques
(Batch 1)
(Prof. Kapil Rathor)
[CL-404]","Data Structures and Algorithms
(Prof. Prateeksha Shanoj)
[CR-303]","Data Structures and Algorithms
(Prof. Prateeksha Shanoj)
[CR-303]","Intelligent Systems - I
(Batch 2)
(Prof. Prateeksha Shanoj)
[CL-405]","Intelligent Systems - I
(Batch 1)
(Prof. Sapna Shah)
[CL-405]"
12:00-13:00,"Data Structures and Algorithms
(Prof. Prateeksha Shanoj)
[CR-302]","Random Processes and Estimation Techniques
(Batch 1)
(Prof. Kapil Rathor)
[CL-404]",,"Technical Communication
(Dr. Priyal Panchal)
[CR-303]",,"Intelligent Systems - I
(Batch 1)
(Prof. Sapna Shah)
[CL-405]"
13:00-14:00,,,"Data Structures and Algorithms
(Batch 1)
(Prof. Prateeksha Shanoj)
[CL-405]",,,
14:00-15:00,,"Data Structures and Algorithms
(Batch 2)
(Prof. Prateeksha Shanoj)
[CL-405]","Data Structures and Algorithms
(Batch 1)
(Prof. Prateeksha Shanoj)
[CL-405]",,,
15:00-16:00,,"Data Structures and Algorithms
(Batch 2)
(Prof. Prateeksha Shanoj)
[CL-405]",,,,
16:00-17:00,,,,,,
17:00-18:00,,,,,,
