,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
08:00-09:00,"Mobile Application Development
(Prof. Dilip Motwani)
[CR-303]","Mobile Application Development
(Prof. Dilip Motwani)
[CR-303]","Mobile Application Development
(Batch 1)
(Prof. Dilip Motwani)
[CC-101]","Deep Learning
(Prof. Kapil Rathor)
[CR-304]","Natural Language Processing
(Prof. Sneha Talreja)
[CR-305]","Natural Language Processing
(Prof. Sneha Talreja)
[CR-305]"
09:00-10:00,"Design and Analysis of Algorithms
(Prof. Sapna Shah)
[CR-304]","Design and Analysis of Algorithms
(Prof. Sapna Shah)
[CR-303]","Mobile Application Development
(Batch 1)
(Prof. Dilip Motwani)
[CC-101]","Computer Network
(Dr. Sangitha Choudhary)
[CR-302]","Natural Language Processing
(Batch 1)
(Prof. Sneha Talreja)
[CL-407]","Natural Language Processing
(Batch 2)
(Prof. Sneha Talreja)
[CL-406]"
10:00-11:00,"Computer Network
(Dr. Sangitha Choudhary)
[CR-304]","Deep Learning
(Prof. Kapil Rathor)
[CR-302]","Computer Network
(Batch 1)
(Dr. Sangitha Choudhary)
[CL-406]","Computer Network
(Batch 2)
(Dr. Sangitha Choudhary)
[CL-407]","Natural Language Processing
(Batch 1)
(Prof. Sneha Talreja)
[CL-407]","Natural Language Processing
(Batch 2)
(Prof. Sneha Talreja)
[CL-406]"
11:00-12:00,,"Design and Analysis of Algorithms
(Batch 1)
(Prof. Sapna Shah)
[CC-101]","Computer Network
(Batch 1)
(Dr. Sangitha Choudhary)
[CL-406]","Computer Network
(Batch 2)
(Dr. Sangitha Choudhary)
[CL-407]",,"Deep Learning
(Batch 1)
(Prof. Kapil Rathor)
[CL-407]"
12:00-13:00,"Deep Learning
(Batch 2)
(Prof. Kapil Rathor)
[CL-406]","Design and Analysis of Algorithms
(Batch 1)
(Prof. Sapna Shah)
[CC-101]",,,,"Deep Learning
(Batch 1)
(Prof. Kapil Rathor)
[CL-407]"
13:00-14:00,"Deep Learning
(Batch 2)
(Prof. Kapil Rathor)
[CL-406]",,,,,
14:00-15:00,,,,,,
15:00-16:00,,,,,,
16:00-17:00,,,,,,
17:00-18:00,,,,,,
